id,name,state,cases,deaths,cases per population
03360,Uelzen,Niedersachsen,7,0,0.00756168171801409
03402,Emden,Niedersachsen,7,0,0.0139456121127602
07318,Speyer,Rheinland-Pfalz,7,0,0.0138949541466513
09675,Kitzingen,Bayern,7,0,0.0077000077000077
12068,Ostprignitz-Ruppin,Brandenburg,7,0,0.00706514059629787
16061,Eichsfeld,Thüringen,7,0,0.00697350069735007
16070,Ilm-Kreis,Thüringen,7,0,0.00643725515440216
16075,Saale-Orla-Kreis,Thüringen,7,0,0.00865608151555622
03401,Delmenhorst,Niedersachsen,6,0,0.00773126135529012
05916,Herne,Nordrhein-Westfalen,6,0,0.00383695499251794
06413,Offenbach am Main,Hessen,6,0,0.00466041135897595
09172,Berchtesgadener Land,Bayern,6,0,0.00567526153496907
09262,Passau,Bayern,6,0,0.0114353237149555
09462,Bayreuth,Bayern,6,0,0.00803675475842855
16077,Altenburger Land,Thüringen,6,0,0.00665793737100246
03354,Lüchow-Dannenberg,Niedersachsen,5,0,0.0103254584503552
03405,Wilhelmshaven,Niedersachsen,5,0,0.0065549699782375
03461,Wesermarsch,Niedersachsen,5,0,0.00564181260155263
07134,Birkenfeld,Rheinland-Pfalz,5,0,0.00619425173439049
07313,Landau in der Pfalz,Rheinland-Pfalz,5,0,0.0107119137905178
09161,Ingolstadt,Bayern,5,0,0.00365014126046678
09777,Ostallgäu,Bayern,5,0,0.00356338550129707
12053,Frankfurt (Oder),Brandenburg,5,0,0.00863960741623901
12066,Oberspreewald-Lausitz,Brandenburg,5,0,0.00452586987218943
15001,Dessau-Roßlau,Sachsen-Anhalt,5,0,0.00615483092679444
15087,Mansfeld-Südharz,Sachsen-Anhalt,5,0,0.00366975170459967
16064,Unstrut-Hainich-Kreis,Thüringen,5,0,0.00485851990049751
03358,Heidekreis,Niedersachsen,4,0,0.0028621516224822
03453,Cloppenburg,Niedersachsen,4,0,0.00236200014172001
03462,Wittmund,Niedersachsen,4,0,0.00703210154354629
07132,Altenkirchen (Westerwald),Rheinland-Pfalz,4,0,0.00310788236665242
07319,Worms,Rheinland-Pfalz,4,0,0.00480019200768031
08221,Heidelberg,Baden-Württemberg,4,0,0.00249446540488292
09678,Schweinfurt,Bayern,4,0,0.00347505777283547
12073,Uckermark,Brandenburg,4,0,0.0033458244111349
15086,Jerichower Land,Sachsen-Anhalt,4,0,0.00444800284672182
16052,Gera,Thüringen,4,0,0.00424844931599966
16054,Suhl,Thüringen,4,0,0.0114827041768336
16063,Wartburgkreis,Thüringen,4,0,0.0032513716724243
16067,Gotha,Thüringen,4,0,0.00295307562826684
03158,Wolfenbüttel,Niedersachsen,3,0,0.00250083361120373
03455,Friesland,Niedersachsen,3,0,0.00304692260816575
06636,Werra-Meißner-Kreis,Hessen,3,0,0.00296979716285378
09561,Ansbach,Bayern,3,0,0.00716897268621406
12051,Brandenburg an der Havel,Brandenburg,3,0,0.00415950307803228
15081,Altmarkkreis Salzwedel,Sachsen-Anhalt,3,0,0.00358144809884797
16062,Nordhausen,Thüringen,3,0,0.00357901266970485
16068,Sömmerda,Thüringen,3,0,0.00430694135381523
05762,Höxter,Nordrhein-Westfalen,2,0,0.00142179757867872
09361,Amberg,Bayern,2,0,0.00476530855372885
09461,Bamberg,Bayern,2,0,0.00257758531807403
07317,Pirmasens,Rheinland-Pfalz,1,0,0.00247506373289112
07320,Zweibrücken,Rheinland-Pfalz,1,0,0.00292320734309685
10042,Merzig-Wadern,Saarland,1,0,0.000967436100845539
16056,Eisenach,Thüringen,1,0,0.00236016049091338
16069,Hildburghausen,Thüringen,1,0,0.00157348984312306
